,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ilaria_giorda,bulldogfrances,bulldoglove,bulldoglife,smile,yoda,yodasour,mare,ilmiobullo,jd,meandmydog,bulli,vacaciones,mydog,bulldogfrancese,yodino,miperrito,liguria,pesopiuma,yodasorridi,sea,meucao,family,sun,
1,ilaria_giorda,bulldoglove,yoda,yodasour,bulldogfrances,yodino,bulldogfrancese,omeucão,bulldogdays,bulldoglife,miperrito,vitadabullo,bulldog,mydog,estate2018,,,,,,,,,,
2,ilaria_giorda,bulldogfrancese,mifamilia,miperro,sea,sun,meuamor,momentos,moments,bulldog,yodasour,bulldogfrances,momlife,miamor,yoda,mybaby,mivida,jd,family,mibebe,sol,sofi,minhacriança,mydog,vitadamamma
3,piscolunas,piscobar,yodasour,mixology,piscoisperu,piscolove,creativemixology,piscotime,piscococktail,matchaholic,piscolunas,yoda,cocktails,starwarscocktails,piscopremium,piscoacholado,barkeeperdrinks,pisco,starwars,,,,,,
