,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
38,escapeclubyqr,shots,escapeclubyqr,boardgamecafe,weekendfun,shamrockshot,warehousedistrict,stpatricksdaydrinks,stpatricksday,,,,,,,,,,,,,,,,,,,,,,
39,escapeclubyqr,boardgamecafe,shamrockshot,mojitos,beerontap,festivedrinks,cafedrinks,stpatricksdayweekend,warehousedistrict,districtbrewing,stpatricksdaydrinks,greendrinks,escaperooms,matchalatte,blackbridge,maltynational,escapeclubyqr,stpatricksday,seeyqr,,,,,,,,,,,,
40,nathanbillsefp,drinkv1,shamrockshot,cleandrinking,v1vodka,vodka,,,,,,,,,,,,,,,,,,,,,,,,,
41,prince_yoma,vape,weedporn,shamrockshot,love,smoketricks,vibes,goodvibes,vapetricks,420,weed,goodmorning,smoke,tricks,,,,,,,,,,,,,,,,,
42,daiqritas,leprechaun,happystpatricksday,stpatricksday,shamrockshot,daiqritasexpress,daiquiri,shots,daiquiristogo,,,,,,,,,,,,,,,,,,,,,,
43,daiqritas,leprechaun,daiquiristogo,happystpatricksday,shamrockshot,stpatricksday,daiqritasexpress,shots,daiquiri,,,,,,,,,,,,,,,,,,,,,,
44,goudabarandgrill,drinksondrink,tipsybartender,shamrockshot,kiwicrushed,woosterohio,mintmartini,goudabarandgrill,,,,,,,,,,,,,,,,,,,,,,,
45,thelumbergenie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,greinhagen,iblamepaleo,backupleadsinger,techrehearsal,highheelsandjeans,shamrockshot,,,,,,,,,,,,,,,,,,,,,,,,,
47,clairisaexplainsital,shamrockshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48, The Horseshoe (@the,specials,irish,stpattysday,horseshoecafe,shamrockshot,drinks,downtown,,,,,,,,,,,,,,,,,,,,,,,
49,kittykat742069,happystpattys,shamrockshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,eatdrinkandgo,stpattysday,irishcreamliquor,vanillavodka,shamrockshot,greenfoodcoloring,,,,,,,,,,,,,,,,,,,,,,,,,
51,bouttimepub,irishwhiskey,sportspub,bouttimepub,stpatricksday,stpaddysday,shamrockshot,nhl,cornedbeefandcabbage,shotsforsupport,marchmadness,weareallirishonstpatricksday,fundraisers,shotsforeveryone,beer,nba,shamrocksformda,drinkingforacause,firstrounds,,,,,,,,,,,,
52,kcbranaghans,stpatricksday,irishpub,kcbranaghans,luckoftheirish🍀,shamrockshot,longbeach,,,,,,,,,,,,,,,,,,,,,,,,
53,meech206,potofgold,jameson,polymovement,theneighborlady,polyboy,green,shamrock,stpatricksday,greenbeer,islander,dimitri,shamrockshot,lp,meech,islandboy,leprechaun,mitri,afatasi,stpattysday,whiskey,polynesian,prettyboyproblems,hemehim,samoan,afakasi,moments,goodluck,d,irish,meuli
54,mrmojo_jojo,rnrthursdays,goodpeople,gooddrinks,shamrockshot,goodfood,,,,,,,,,,,,,,,,,,,,,,,,,
55,moemakeup,springbreak2016,gettingourdrinkon,goodtimeswithfriends,stpatricksday,shamrockshot,tentparty,irishgirl,,,,,,,,,,,,,,,,,,,,,,,
56,life_of_mr_levi,shamrockshot,greenbeer,irishwhiskey,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,feleciafrench_ on In,butches,butchkowals,wednesday,shamrockshot,jameson,yuengling,friends,love,drinking,shots,rumchata,drunk,fun,rahway,drank,,,,,,,,,,,,,,,
58,velvetttrose,noblackfriday,daydrink,shamrockshot,,,,,,,,,,,,,,,,,,,,,,,,,,,
