,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
45,teeqtequila,fridaydrinks,tequilalover,detroit,downrivermichigan,tequilas,puremichigan,downtowndetroit,tequilamanhattan,waynecounty,tequilaoldfashioned,upperpeninsulamichigan,westmichigan,downriverdrinks,tequiladrinks,michigan,upnorthmichigan,michigandrinks,fridaydrinking,,,,,,,,
46,zhang_yui,tequilamanhattan,三連休,常熟路,上海,,,,,,,,,,,,,,,,,,,,,,
47,markcsgreen,steakhouse,tequilamanhattan,broadway,nyc,,,,,,,,,,,,,,,,,,,,,,
48,tha1jay,piscosour,comegetit,🥃,cocktails,rumoldfashioned,drink,tequilamanhattan,,,,,,,,,,,,,,,,,,,
49,eav_bartender92,tequilamanhattan,tequila,,,,,,,,,,,,,,,,,,,,,,,,
50,licguy,blancotequila,tequilamanhattan,mexicanmule,astorcenternyc,ocholalatilla,libations,spiritseducation,tequila,reposadotequila,eljimador,anejotequila,puebloviejo,passionfruitmargarita,cocktails,tequilapunch,tequilacocktails,,,,,,,,,,
51,case_see,somervillenj,tequilamanhattan,modernclassics,tequila,downtownsomerville,manhattan,saltedlime,classiccocktails,,,,,,,,,,,,,,,,,,
52,royerhometeam,aurorarealestate,tequila,suavecito,tequilamanhattan,denverrealestate,,,,,,,,,,,,,,,,,,,,,
53,teeqtequila,tequilamanhattan,westmichigan,michiganmargarita,michigantacos,muskegonriver,teeqtequila,drinkstagram,manhattandrink,tequilacocktails,westmichiganfoodie,cheersdetroit,michiganmexicanfood,grandrapidsmi,tacosandtequila,streettacos,grandrapidsdaily,muskegon,watchmuskegon,muskegonmi,michigan,grandrapidsmichigan,muskegonmichigan,grandrapidsfoodie,greatlakes,puremichigan,
54,zerospecbebop,,,,,,,,,,,,,,,,,,,,,,,,,,
55,mokro_,,,,,,,,,,,,,,,,,,,,,,,,,,
56,giffardasiapacific,,,,,,,,,,,,,,,,,,,,,,,,,,
57,queenbeemixology,,,,,,,,,,,,,,,,,,,,,,,,,,
58,puss_n_booch,happyhour,grapeandgrain,tequilamanhattan,itsathing,friyeah,,,,,,,,,,,,,,,,,,,,,
59,queenbeemixology,,,,,,,,,,,,,,,,,,,,,,,,,,
60,scrappysbitters,,,,,,,,,,,,,,,,,,,,,,,,,,
61,outlinedcloth,,,,,,,,,,,,,,,,,,,,,,,,,,
62,bonnieclydesgrapevin,tequila,tequilamanhattan,chalinospecial,grapevinetx,tequilatuesday,tequilapaloma,whattodotuesday,tequilablanco,margaritas,tequilasunrise,tequilareposado,tequilaanejo,mojitoblanco,,,,,,,,,,,,,
63,wineclubliquorland,drinks,tequila,tequilaanejo,tequilashots,donjuliotequila,tequilacocktails,drinksrecipes,liquorland,liquorstore,añejo,tequilamanhattan,,,,,,,,,,,,,,,
64,carsbeerkpop on Inst,tequilabutcher,tequilamanhattan,,,,,,,,,,,,,,,,,,,,,,,,
65,reidumstattd,letmebemyself,citythatneversleeps,tequilamanhattan,loveyounewyorkcity,,,,,,,,,,,,,,,,,,,,,,
66,thefoxandcrowcafe (@,tequilamanhattan,123spirits,dontdrinkalone,123organictequila,goorganic,,,,,,,,,,,,,,,,,,,,,
67,kaique_guimaraes,tequilamanhattan,tequilasunrise,marguerita,,,,,,,,,,,,,,,,,,,,,,,
68,thefoxandcrowcafe (@,tequilamanhattan,oystersfordinner,organicnaturally,brinywellfleetoysters,simplefoods,wellfleetoysters,checksinthemail,,,,,,,,,,,,,,,,,,,
69,underaged_alcoholics,tequilamanhattan,alcohol,booze,cocktail,instafamous,liquor,sweetvermouth,drink,mixology,follow,bar,tequila,underagedalcoholics,like,bartender,bartend,legal,manhattan,alcoholics,tipsy,drinkoftheweek,comment,bitters,drunks,,
70,stgalla on Instagram,cocktailsathome,bemelmansbar,tequila,plusone,tequilamanhattan,cocktailhour,,,,,,,,,,,,,,,,,,,,
71,papparabbit_mgm,fidenciopechuga,tequilamanhattan,corazonold22,dosartestequila,másmezcal,casaamigosmezcal,herradurasuprema,drinkmamarabbit,mástequila,donamadolargo,,,,,,,,,,,,,,,,
72,delicious_craic,nationaltequiladay,drinkgod,jsqlounge,,,,,,,,,,,,,,,,,,,,,,,
73,sapphirelaguna,nationaltequiladay,lagunabeach,craftcocktails,sapphirelaguna,visitlaguna,codigo1530tequila,cocktails,manhattan,tequilalovers,tequila,visitlagunabeach,happyhour,codigo1530,tequiladinner,tequilamanhattan,,,,,,,,,,,
74,nolaguys,cocktails,aretteanejo,labreablvd,tequilamanhattan,aretteanejotequila,labreadistrict,odysandpenelope,cocktailporn,,,,,,,,,,,,,,,,,,
75,barhappy_app,margarita,drinks,thepaloma,chilanospecial,tequilacocktails,tequila,tequilamanhattan,tequilasunrise,sundayfunday,cincodemayo,,,,,,,,,,,,,,,,
76,dougrago,sundaysupper,italianfood,husbandtime,gratitude,datenight,raoshollywood,weekendvibes,imaluckyguy,sauce,southphilly,italian,hollywoodlife,sogood,tequilamanhattan,rocks,gravy,,,,,,,,,,
