,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,liquor,vladimiry,bloodymary,,,,,,,,,,,,,,,,,,,
1,pietro_renon,aperitivo,instafood,instapornfood,bloodymary,vladimiry,🍹,,,,,,,,,,,,,,,
2,themorningson_,beer,hop,brewdog,ipa,pork,cinecittà,notforgays,cantine,vladimiry,,,,,,,,,,,,
3,kwiatuszeq,vladimiry,boy,drive,zapierdalac,koxy,chill,,,,,,,,,,,,,,,
4,mcvickerpickles.com ,vladimiry,,,,,,,,,,,,,,,,,,,,
5,cocktailllovers,ginger,like4like,follow4follow,liquor,like4follow,elegant,vladimiry,martini,vermouth,followme,tequila,art,cocktails,likeforfollow,ingredients,likeforlike,cocktail,followforfollow,workout,followback,brandy
