,0,1,2,3,4,5,6,7,8,9,10,11
0,foothillrestaurant,snapchatrum,,,,,,,,,,
1,foothillrestaurant,,,,,,,,,,,
2,foothillrestaurant,funtimes,forkyeah,pasadena,comehungry,tuesdayvibes,yum,pasadenafoodies,snapchatrum,fun,food,goodtimes
3,foothillrestaurant,snapchatrum,,,,,,,,,,
