,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,russellswineandliquo,margarita,can,marguerita,jose,new,cuervo,josecuervo,sparklingrosemargarita,picnic,200ml,strawberry,sparklingstrawberry,picoftheday,cans,cuervosparklingpaloma,beach,,,
1,miss_suzanneg,bankholiday,friends,sparklingrosemargarita,espressoblancomartini,cocktails,,,,,,,,,,,,,,
2,wander_gypsy38,hotelmusthave,sparklingrosemargarita,onthego,josecuervo,workhardplayhard,gypsysfavorite,josecuervomargaritas,,,,,,,,,,,,
3,rickscapetown,fireplace,special,winter,cocktail,tequila,margarita,sparklingrosemargarita,lime,capetown,strawberry,eljimador,reposado,agavesyrup,,,,,,
4,ciaotiamo,margarita,gia,giaeatdrinklisten,sparklingrosemargarita,cocktails,datenight,,,,,,,,,,,,,
5,sim_sim_belle,gia,dolce,cheerstospontaneousdecisions,hotpistachio,sparklingrosemargarita,,,,,,,,,,,,,,
6,onewinwonder,pineapplepunch,julietrose,timetravel,sparklingrosemargarita,,,,,,,,,,,,,,,
7,russellswineandliquo,200ml,new,paloma,sparklingstrawberry,cuervosparklingpaloma,sparkling,jose,marguerita,strawberry,cuervo,picoftheday,sparklingmargarita,can,picnic,sparklingrosemargarita,beach,margarita,cans,josecuervo
