,0,1,2,3,4,5,6,7,8,9,10,11,12
0,kevstierle,elixirbloodymary,ugh,,,,,,,,,,
1,secretspiceremedy,adkvodka,secretspiceremedyonthego,elixirbloodymary,bloodymary,,,,,,,,
2,secretspiceremedyont,spiceitup,secretspiceremedy,anca,buylocal,happyhour,eatadk,shopadk,sundaybrunch,elixir,raquettelakenavigation,adirondacks,elixirbloodymary
